course Name,Program,Year
LINEAR ALGEBRA,DESH-DESH,FY
CALCULUS,DESH-DESH,FY
C PROGRAMMING,DESH-DESH,FY
PYTHON,DESH-DESH,FY
APPLIED SCIENCE,DESH-DESH,FY
ELECTRICAL ENGINEERING,DESH-DESH,FY
FRENCH,DESH-DESH,FY
JAPNESE,DESH-DESH,FY
ENGINEERING DESIGN & DEVELOPMENT 1,DESH-DESH,FY
PROFESSIONAL DEVELOPMENT-1,DESH-DESH,FY
ENGINEERING MECHANICS,DESH-DESH,FY
APPLIED PHYSICS,DESH-DESH,FY
BEHAVIORAL SCIENCES,DESH-DESH,FY
SOFT SKILLS,DESH-DESH,FY
ENGINEERING DRAWING,DESH-DESH,FY
ENGINEERING DESIGN & DEVELOPMENT-2,DESH-DESH,FY
CHESS,DESH-DESH,FY
FLUTE,DESH-DESH,FY
PHOTOGRAPHY,DESH-DESH,FY
TREKKING,DESH-DESH,FY
HARDWARE & SOFTWARE WORKSHOP ,DESH-DESH,FY
MACHINING WORKSHOP ,DESH-DESH,FY
INDUCTION TRAINING,DESH-DESH,FY
ENVIRONMENTAL SCIENCE,DESH-DESH,FY
NETWORK AND INFORMATION SECURITY ,Master of Computer Application-(MCA),TY
INTERNET OF THINGS ,Master of Computer Application-(MCA),TY
MOBILE APPLICATION DEVELOPMENT ,Master of Computer Application-(MCA),TY
MECHANICAL OPERATIONS,BTech-Chemical Engineering,TY
MECHANICAL OPERATIONS,BTech-Chemical Engineering,BTech
CHEMICAL REACTION KINETICS,BTech-Chemical Engineering,BTech
DATA COMPRESSION,BTech-Electronics Engineering,TY
POWER ELECTRONICS ,BTech-Electronics Engineering,TY
DIGITAL INTEGRATED CIRCUIT DESIGN,BTech-Electronics Engineering,TY
ARTIFICIAL INTELLIGENCE ,BTech-Electronics Engineering,TY
OPERATING SYSTEMS,BTech-Computer Engineering,TY
MICROPROCESSOR & MICROCONTROLLERS,BTech-Computer Engineering,TY
SYSTEM PROGRAMMING,BTech-Computer Engineering,TY
DATABASE MANAGEMENT SYSTEMS,BTech-Computer Engineering,BTech
DATABASE MANAGEMENT SYSTEMS,BTech-Computer Engineering,TY
DISTRIBUTED ALGORITHMS,BTech-Computer Engineering,TY
FLUID FLOW OPERATIONS,BTech-Chemical Engineering,SY
PROCESS CALCULATIONS,BTech-Chemical Engineering,SY
CHEMICAL ENGINEERING THERMODYNAMICS,BTech-Chemical Engineering,SY
 NETWORK THEORY,BTech-Electronics Engineering,BTech
FLUID MECHANICS,BTech-Mechanical Engineering,SY
FLUID MECHANICS,BTech-Mechanical Engineering,BTech
SIGNALS AND SYSTEMS ,BTech-Electronics Engineering,BTech
DIFFERENTIAL EQUATIONS,BTech-Chemical Engineering,SY
DIGITAL ELECTRONICS,BTech-Electronics Engineering,BTech
STRENGTH OF MACHINE ELEMENTS,BTech-Mechanical Engineering,SY
STRENGTH OF MACHINE ELEMENTS,BTech-Mechanical Engineering,BTech
PROBABILITY AND STATISTICS ,BTech-Electronics Engineering,BTech
THEORY OF MACHINES,BTech-Industrial Engineering,SY
APPLIED THERMODYNAMICS,BTech-Mechanical Engineering,BTech
APPLIED THERMODYNAMICS,BTech-Mechanical Engineering,SY
MACHINE TOOLS & PROCESSES,BTech-Industrial Engineering,SY
METROLOGY & MECHANICAL MEASUREMENTS,BTech-Industrial Engineering,SY
MATERIAL SCIENCE,BTech-Mechanical Engineering,SY
MECHANICS OF MATERIALS,BTech-Industrial Engineering,SY
MANUFACTURING PROCESSES,BTech-Mechanical Engineering,SY
MATHEMATICS FOR ENGINEERING APPLICATIONS-I,BTech-Industrial Engineering,SY
DATA STRUCTURES,BTech-Computer Engineering,SY
AUTOMATA THEORY,BTech-Computer Engineering,BTech
DISCRETE MATHEMATICS,BTech-Computer Engineering,SY
ANALOG ELECTRONICS,BTech-Electronics Engineering,BTech
CONTROL SYSTEMS ,BTech-Electronics Engineering,BTech
ELECTRONICS COMMUNICATION,BTech-Electronics Engineering,BTech
DATA STRUCTURES & ALGORITHMS,BTech-Electronics Engineering,BTech
DISCRETE STRUCTURE AND GRAPH THEORY,BTech-Electronics Engineering,BTech
SIGNAL PROCESSING,BTech-Instrumentation and Control Engineering,SY
DATA STRUCTURES,BTech-Instrumentation and Control Engineering,SY
AUTOMATA THEORY ,BTech-Information Technology,SY
CMOS MIXED SIGNAL DESIGN,BTech-Electronics Engineering,BTech
COMPILER DESIGN,BTech-Computer Engineering,BTech
HUMAN COMPUTER INTERACTION,BTech-Computer Engineering,BTech
DATA SCIENCE,BTech-Computer Engineering,BTech
MACHINE LEARNING,BTech-Computer Engineering,BTech
DIGITAL CONTROL,BTech-Instrumentation and Control Engineering,BTech
ARTIFICIAL INTELLIGENCE,BTech-Computer Engineering,BTech
DATA STRUCTURES,BTech-Information Technology,BTech
DATABASE MANAGEMENT SYSTEMS,BTech-Information Technology,BTech
WEB TECHNOLOGIES,BTech-Information Technology,BTech
PROJECT STAGE I,BTech-Information Technology,BTech
MAJOR PROJECT 1,BTech-Electronics Engineering,BTech
ADVANCED JAVA,BTech-Information Technology,BTech
ANALOG COMMUNICATION,BTech-Electronics Engineering,TY
ANALOG COMMUNICATION,BTech-Electronics and Telecommunication Engg,SY
MINI PROJECT,BTech-Electronics Engineering,TY
MINI PROJECT,BTech-Electronics and Telecommunication Engg,SY
SIGNAL PROCESSING AND COMMUNICATION LAB,BTech-Electronics Engineering,BTech
LATEX,BTech-Electronics Engineering,BTech
SEMINAR,BTech-Electronics and Telecommunication Engg,TY
SEMINAR,BTech-Electronics and Telecommunication Engg,BTech
INDUSTRY INTERNSHIP,BTech-Instrumentation and Control Engineering,BTech
ENGINEERING LAB,BTech-Information Technology,BTech
GENERAL SEMINAR - II,BTech-Chemical Engineering,SY
GENERAL SEMINAR - II,BTech-Information Technology,BTech
