AY,SEM,Course Code,course Name,Program,Year
2021-22,1,ES1004,LINEAR ALGEBRA,DESH-DESH,FY
2021-22,2,ES1004,LINEAR ALGEBRA,DESH-DESH,FY
2022-23,2,ES1004,LINEAR ALGEBRA,DESH-DESH,FY
2021-22,1,ES1001,CALCULUS,DESH-DESH,FY
2021-22,2,ES1001,CALCULUS,DESH-DESH,FY
2023-24,1,ES1001,CALCULUS,DESH-DESH,FY
2021-22,1,CS1001,C PROGRAMMING,DESH-DESH,FY
2021-22,1,CS1002,PYTHON,DESH-DESH,FY
2021-22,2,CS1002,PYTHON,DESH-DESH,FY
2021-22,1,ES1002,APPLIED SCIENCE,DESH-DESH,FY
2021-22,2,ES1002,APPLIED SCIENCE,DESH-DESH,FY
2021-22,1,ES1003,ELECTRICAL ENGINEERING,DESH-DESH,FY
2021-22,2,ES1003,ELECTRICAL ENGINEERING,DESH-DESH,FY
2021-22,1,HS1003,FRENCH,DESH-DESH,FY
2021-22,1,HS1004,JAPNESE,DESH-DESH,FY
2021-22,2,HS1004,JAPNESE,DESH-DESH,FY
2021-22,1,ES1009,ENGINEERING DESIGN & DEVELOPMENT 1,DESH-DESH,FY
2021-22,2,ES1009,ENGINEERING DESIGN & DEVELOPMENT 1,DESH-DESH,FY
2021-22,1,ES1011,PROFESSIONAL DEVELOPMENT-1,DESH-DESH,FY
2021-22,1,ES1005,ENGINEERING MECHANICS,DESH-DESH,FY
2021-22,2,ES1005,ENGINEERING MECHANICS,DESH-DESH,FY
2021-22,1,ES1007,APPLIED PHYSICS,DESH-DESH,FY
2021-22,2,ES1007,APPLIED PHYSICS,DESH-DESH,FY
2021-22,1,HS1001,BEHAVIORAL SCIENCES,DESH-DESH,FY
2021-22,1,HS1002,SOFT SKILLS,DESH-DESH,FY
2021-22,2,HS1002,SOFT SKILLS,DESH-DESH,FY
2021-22,1,ES1008,ENGINEERING DRAWING,DESH-DESH,FY
2021-22,2,ES1008,ENGINEERING DRAWING,DESH-DESH,FY
2021-22,1,ES1010,ENGINEERING DESIGN & DEVELOPMENT-2,DESH-DESH,FY
2021-22,2,HS1010,CHESS,DESH-DESH,FY
2021-22,1,HS1012,FLUTE,DESH-DESH,FY
2021-22,2,HS1012,FLUTE,DESH-DESH,FY
2021-22,1,HS1014,PHOTOGRAPHY,DESH-DESH,FY
2021-22,1,HS1025,TREKKING,DESH-DESH,FY
2021-22,2,HS1025,TREKKING,DESH-DESH,FY
2021-22,1,ES1012,HARDWARE & SOFTWARE WORKSHOP ,DESH-DESH,FY
2021-22,2,ES1012,HARDWARE & SOFTWARE WORKSHOP ,DESH-DESH,FY
2021-22,1,ES1013,MACHINING WORKSHOP ,DESH-DESH,FY
2022-23,1,HS1027,INDUCTION TRAINING,DESH-DESH,FY
2023-24,1,HS1027,INDUCTION TRAINING,DESH-DESH,FY
2021-22,1,ES1014,ENVIRONMENTAL SCIENCE,DESH-DESH,FY
2021-22,2,ES1014,ENVIRONMENTAL SCIENCE,DESH-DESH,FY
2022-23,1,ES1014,ENVIRONMENTAL SCIENCE,DESH-DESH,FY
2023-24,1,ES1014,ENVIRONMENTAL SCIENCE,DESH-DESH,FY
2021-22,1,IT9001,NETWORK AND INFORMATION SECURITY ,Master of Computer Application-(MCA),TY
2021-22,2,IT9001,NETWORK AND INFORMATION SECURITY ,Master of Computer Application-(MCA),TY
2021-22,1,IT9004,INTERNET OF THINGS ,Master of Computer Application-(MCA),TY
2021-22,2,IT9004,INTERNET OF THINGS ,Master of Computer Application-(MCA),TY
2021-22,1,IT9005,MOBILE APPLICATION DEVELOPMENT ,Master of Computer Application-(MCA),TY
2021-22,2,IT9005,MOBILE APPLICATION DEVELOPMENT ,Master of Computer Application-(MCA),TY
2023-24,2,CH3061,MECHANICAL OPERATIONS,BTech-Chemical Engineering,TY
2021-22,1,CH3061,MECHANICAL OPERATIONS,BTech-Chemical Engineering,BTech
2021-22,1,CH3067,CHEMICAL REACTION KINETICS,BTech-Chemical Engineering,BTech
2022-23,2,EL3003,DATA COMPRESSION,BTech-Electronics Engineering,TY
2021-22,1,EL3003,DATA COMPRESSION,BTech-Electronics Engineering,TY
2022-23,2,EL3004,POWER ELECTRONICS ,BTech-Electronics Engineering,TY
2021-22,1,EL3004,POWER ELECTRONICS ,BTech-Electronics Engineering,TY
2022-23,2,EL3007,DIGITAL INTEGRATED CIRCUIT DESIGN,BTech-Electronics Engineering,TY
2021-22,1,EL3007,DIGITAL INTEGRATED CIRCUIT DESIGN,BTech-Electronics Engineering,TY
2022-23,2,EL3011,ARTIFICIAL INTELLIGENCE ,BTech-Electronics Engineering,TY
2021-22,1,EL3011,ARTIFICIAL INTELLIGENCE ,BTech-Electronics Engineering,TY
2022-23,Summer,CS3024,OPERATING SYSTEMS,BTech-Computer Engineering,TY
2021-22,2,CS3003,MICROPROCESSOR & MICROCONTROLLERS,BTech-Computer Engineering,TY
2021-22,2,CS3016,SYSTEM PROGRAMMING,BTech-Computer Engineering,TY
2021-22,1,CS3023,DATABASE MANAGEMENT SYSTEMS,BTech-Computer Engineering,BTech
2021-22,2,CS3023,DATABASE MANAGEMENT SYSTEMS,BTech-Computer Engineering,TY
2022-23,Summer,CS3023,DATABASE MANAGEMENT SYSTEMS,BTech-Computer Engineering,TY
2022-23,Summer,CS3010,DISTRIBUTED ALGORITHMS,BTech-Computer Engineering,TY
2021-22,1,CH2001,FLUID FLOW OPERATIONS,BTech-Chemical Engineering,SY
2021-22,1,CH2003,PROCESS CALCULATIONS,BTech-Chemical Engineering,SY
2021-22,2,CH2003,PROCESS CALCULATIONS,BTech-Chemical Engineering,SY
2022-23,Summer,CH2003,PROCESS CALCULATIONS,BTech-Chemical Engineering,SY
2021-22,1,CH2005,CHEMICAL ENGINEERING THERMODYNAMICS,BTech-Chemical Engineering,SY
2022-23,2,CH2005,CHEMICAL ENGINEERING THERMODYNAMICS,BTech-Chemical Engineering,SY
2021-22,1,EL2007, NETWORK THEORY,BTech-Electronics Engineering,BTech
2021-22,Summer,ME2051,FLUID MECHANICS,BTech-Mechanical Engineering,SY
2021-22,1,ME2051,FLUID MECHANICS,BTech-Mechanical Engineering,SY
2021-22,2,ME2051,FLUID MECHANICS,BTech-Mechanical Engineering,SY
2021-22,1,ME2051,FLUID MECHANICS,BTech-Mechanical Engineering,BTech
2022-23,2,ME2051,FLUID MECHANICS,BTech-Mechanical Engineering,SY
2021-22,1,EL2008,SIGNALS AND SYSTEMS ,BTech-Electronics Engineering,BTech
2021-22,1,CH2009,DIFFERENTIAL EQUATIONS,BTech-Chemical Engineering,SY
2021-22,2,CH2009,DIFFERENTIAL EQUATIONS,BTech-Chemical Engineering,SY
2021-22,1,EL2009,DIGITAL ELECTRONICS,BTech-Electronics Engineering,BTech
2021-22,1,ME2055,STRENGTH OF MACHINE ELEMENTS,BTech-Mechanical Engineering,SY
2021-22,2,ME2055,STRENGTH OF MACHINE ELEMENTS,BTech-Mechanical Engineering,SY
2021-22,1,ME2055,STRENGTH OF MACHINE ELEMENTS,BTech-Mechanical Engineering,BTech
2021-22,Summer,ME2055,STRENGTH OF MACHINE ELEMENTS,BTech-Mechanical Engineering,SY
2022-23,2,ME2055,STRENGTH OF MACHINE ELEMENTS,BTech-Mechanical Engineering,SY
2021-22,1,EL2010,PROBABILITY AND STATISTICS ,BTech-Electronics Engineering,BTech
2021-22,1,IE2001,THEORY OF MACHINES,BTech-Industrial Engineering,SY
2021-22,2,IE2001,THEORY OF MACHINES,BTech-Industrial Engineering,SY
